id,sort_order,color,fabric,name,description,image,is_eco,eco_order,cleancode,attributes,is_available
2,1,white,boucl&eacute;,Bloke Snow,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_fufo39g66p0f5eirng2qk29k7g/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
3,2,white,boucl&eacute;,Merino Chalk,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_h60a52dl112el2dd0387qavc5u/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
4,3,gray,boucl&eacute;,Muse Stone,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_eabl4vbh31357e3vp51gi2f47d/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
5,4,gray,boucl&eacute;,Bloke Cotton,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_ookt3qpb7d76t34ctktpq62518/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
6,6,green|blue,boucl&eacute;,Bloke Peacock,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_j94bhs3n3t3sj23tle83f0bs64/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
7,8,red,boucl&eacute;,Bloke Brick,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_ssdsp3cetp5a7a5na2pgusvo6g/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
8,9,yellow,boucl&eacute;,Bloke Goldenrod,Looped novelty yarns create a nubby look that is cozy and soft. Tons of textural dimension.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_n3l6c3oum14nldf1drehate80h/-B540-FJPG%2CQ40,0,0,W,"Lots of stylish texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean. Pile fabrics may require brushing to restore appearance.",1
9,10,white,woven,Fincher Ivory,"A textured weave with varying yarns and lots of soft, raised texture. Saturated color. Slightly brushed feel.<br><br>Our Eco-Performance fabrics are super-durable, easy to clean and made to withstand real life. Includes REPREVE&#174; fibers made from recycled plastic bottles.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_9clcii7akt7od5m8jj1d5thn20/-B540-FJPG%2CQ40,1,1,W,"Lots of soft texture|Stain-resistant|water&#8208;repellent|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|63&#37; Polyester, 35&#37; REPREVE&#174; Polyester, 2&#37; Nylon|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
10,11,white,woven,Dudley Buff,"Classic, textured weave. Yarns feature size and super-slight color variations. Muted shine.",https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_o0t6ar78sl13v10npdfgo9kk2n/-B540-FJPG%2CQ40,0,0,W,"Richly textured|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
11,12,brown,woven,Laurent Beach,A seamless tight weave. Polished and clean with a smooth surface. Subtle two-tone coloration.,https://d13h4k5rfgad5r.cloudfront.net/image/022300374128/image_m5nmatvdd93udcifu4r0ul5s3l/-B540-FJPG%2CQ40,0,0,W,"Flat weave with smooth texture|Durability: 15,000 double rubs (how fabric holds up against everyday wear and tear)|100&#37; Polyester|Care Instructions: Cleaning Code W. Spot clean using distilled water and water&#8208;based cleaning agents or foam only. Do not over wet. Do not use solvents to spot clean.",1
